0,238,41.0
0,159,46.0
1,12,36.0
1,235,44.0
2,110,69.0
2,139,50.0
3,262,33.0
3,210,41.0
4,171,43.0
4,251,35.0
5,13,67.0
5,239,54.0
6,55,56.0
6,258,46.0
7,290,39.0
7,311,79.0
8,350,38.0
8,309,58.0
9,338,28.0
9,78,62.0
10,277,42.0
10,108,36.0
11,154,32.0
11,54,41.0
12,213,42.0
12,1,36.0
13,151,57.0
13,5,67.0
14,124,46.0
14,64,28.0
15,318,37.0
15,319,73.0
16,119,98.0
16,331,62.0
17,288,89.0
17,40,41.0
18,163,32.0
18,61,56.0
19,236,31.0
19,93,33.0
20,129,48.0
20,283,38.0
21,86,46.0
21,75,51.0
22,84,39.0
22,120,81.0
23,97,35.0
23,287,57.0
24,84,51.0
25,193,42.0
25,253,35.0
26,98,31.0
26,230,64.0
27,239,64.0
27,246,59.0
28,29,79.0
29,374,46.0
374,29,46.0
29,28,79.0
30,354,24.0
30,150,44.0
31,41,28.0
31,144,36.0
32,343,54.0
32,303,41.0
33,344,52.0
33,304,41.0
34,248,36.0
34,41,57.0
35,111,34.0
35,172,40.0
36,198,105.0
36,37,39.0
37,36,39.0
38,336,35.0
38,289,38.0
39,153,38.0
39,267,46.0
40,17,41.0
40,297,37.0
41,34,57.0
41,31,28.0
42,190,42.0
42,215,35.0
43,66,41.0
43,328,57.0
44,162,54.0
44,250,64.0
45,348,43.0
45,155,35.0
46,242,63.0
46,329,46.0
47,148,46.0
47,195,41.0
48,182,66.0
48,318,60.0
49,164,42.0
49,241,40.0
50,77,54.0
50,109,62.0
51,137,62.0
51,202,69.0
52,201,20.0
53,372,47.0
53,167,33.0
54,11,41.0
54,145,51.0
55,127,60.0
55,6,56.0
56,351,59.0
56,362,75.0
57,150,35.0
58,307,31.0
58,369,31.0
59,224,72.0
59,162,53.0
60,299,63.0
60,133,45.0
61,18,56.0
61,335,28.0
62,287,53.0
62,216,48.0
63,123,44.0
63,169,57.0
64,14,28.0
64,192,57.0
65,342,41.0
65,121,57.0
66,43,41.0
67,135,87.0
67,173,51.0
